"personLabel"	"assocLabel"
"Edgar Sampson"	"Duke Ellington"
"Franny Beecher"	"Benny Goodman"
"Crystal Taliefero"	"Billy Joel"
"Matisyahu"	"Les Claypool"
"Matt Garrison"	"Herbie Hancock"
"Top Topham"	"Christine McVie"
"Baxter Dury"	"Ian Dury"
"Geoff Downes"	"Glenn Hughes"
"James Moody (saxophonist)"	"Dizzy Gillespie"
"Michael Cavanaugh (musician)"	"Billy Joel"
"Plas Johnson"	"Henry Mancini"
"Richie Cannata"	"Billy Joel"
"Ron Holloway"	"Dizzy Gillespie"
"Zal Cleminson"	"Bonnie Tyler"
"Alice Babs"	"Duke Ellington"
"Claus Ogerman"	"Billie Holiday"
"Lex Humphries"	"John Coltrane"
"Thad Jones"	"Herbie Hancock"
"Vic Schoen"	"Benny Goodman"
"David Austin (singer)"	"George Michael"
"Harry Barris"	"Duke Ellington"
"Murray McEachern"	"Benny Goodman"
"Walter Giardino"	"Glenn Hughes"
"Bruce Welch"	"Cliff Richard"
"Helen Forrest"	"Benny Goodman"
"Junior Parker"	"Ike Turner"
"Ray Cooper"	"Billy Joel"
"Rich Costey"	"Fiona Apple"
"Eugene Hütz"	"Les Claypool"
"Mario Bauzá"	"Charlie Parker"
"Mario Bauzá"	"Ella Fitzgerald"
"Mel McDaniel"	"Chuck Berry"
"Stuart Emerson"	"Bonnie Tyler"
"Tex Beneke"	"Henry Mancini"
"Hugh McCracken"	"Billy Joel"
"Joe Wilder"	"Benny Goodman"
"Joe Wilder"	"Billie Holiday"
"Joe Wilder"	"Dizzy Gillespie"
"Larry Bunker"	"Billie Holiday"
"Larry Bunker"	"Ella Fitzgerald"
"Tommy Potter"	"Charlie Parker"
"Fred Van Eps"	"Benny Goodman"
"Russell Javors"	"Billy Joel"
"Tom Brock (singer)"	"Barry White"
"Alexander Gradsky"	"John Denver"
"Chuck Israels"	"Benny Goodman"
"Chuck Israels"	"Billie Holiday"
"Chuck Israels"	"Herbie Hancock"
"Chuck Israels"	"John Coltrane"
"Ken Caillat"	"Christine McVie"
"Ken Caillat"	"Herbie Hancock"
"Roger Nichols (recording engineer)"	"John Denver"
"Chris Anderson (pianist)"	"Herbie Hancock"
"Frank Simms"	"Billy Joel"
"Gene Krupa"	"Benny Goodman"
"Alexa Ray Joel"	"Billy Joel"
"Barry Harris"	"Charlie Parker"
"Doug Aldrich"	"Glenn Hughes"
"Frank Colón"	"Herbie Hancock"
"George Coleman"	"Herbie Hancock"
"Jimmy Roberts (singer)"	"Lawrence Welk"
"Johannes Linstead"	"David Arkenstone"
"Royce Campbell"	"Henry Mancini"
